ATC;NT;NAZEV;NAZEV_EN
J01DD17;N;cefkapen;cefcapene
J01DD18;N;cefteram;cefteram
J01DD51;N;cefotaxim a inhibitor beta-laktamasy;cefotaxime and beta-lactamase inhibitor
J01DD52;N;ceftazidim a inhibitor beta-laktamasy;ceftazidime and beta-lactamase inhibitor
J01DD54;N;ceftriaxon, kombinace;ceftriaxone, combinations
J01DD58;N;cefixim a inhibitor beta-laktamasy;cefixime and beta-lactamase inhibitor
J01DD62;N;cefoperazon a inhibitor beta-laktamasy;cefoperazone and beta-lactamase inhibitor
J01DD63;N;ceftriaxon a inhibitor beta-laktamasy;ceftriaxone and beta-lactamase inhibitor
J01DD64;N;cefpodoxim a inhibitor beta-laktamasy;cefpodoxime and beta-lactamase inhibitor
J01DE;N;Cefalosporiny IV. generace;Fourth-generation cephalosporins
J01DE01;N;cefepim;cefepime
J01DE02;N;cefpirom;cefpirome
J01DE03;N;cefozopran;cefozopran
J01DE51;N;cefepim a inhibitor beta-laktamasy;cefepime and beta-lactamase inhibitor
J01DF;N;Monobaktamy;Monobactams
J01DF01;N;aztreonam;aztreonam
J01DF02;N;karumonam;carumonam
J01DF51;N;aztreonam a inhibitor beta-laktamasy;aztreonam and beta-lactamase inhibitor
J01DH;N;Karbapenemy;Carbapenems
J01DH02;N;meropenem;meropenem
J01DH03;N;ertapenem;ertapenem
J01DH04;N;doripenem;doripenem
J01DH05;N;biapenem;biapenem
J01DH06;N;tebipenem-pivoxil;tebipenem pivoxil
J01DH51;N;imipenem a cilastatin;imipenem and cilastatin
J01DH52;N;meropenem a vaborbaktam;meropenem and vaborbactam
J01DH55;N;panipenem a betamipron;panipenem and betamipron
J01DH56;N;imipenem, cilastatin a relebaktam;imipenem, cilastatin and relebactam
J01DI;N;Jiné cefalosporiny a penemy;Other cephalosporins and penems
J01DI01;N;ceftobiprol-medokaril;ceftobiprole medocaril
J01DI02;N;ceftarolin-fosamil;ceftaroline fosamil
J01DI03;N;faropenem;faropenem
J01DI04;N;cefiderokol;cefiderocol
J01DI54;N;ceftolozan a inhibitor beta-laktamasy;ceftolozane and beta-lactamase inhibitor
J01E;N;SULFONAMIDY A TRIMETHOPRIM;SULFONAMIDES AND TRIMETHOPRIM
J01EA;N;Trimethoprim a deriváty;Trimethoprim and derivatives
J01EA01;N;trimethoprim;trimethoprim
J01EA02;N;brodimoprim;brodimoprim
J01EA03;N;iklaprim;iclaprim
J01EB;N;Sulfonamidy krátkodobě působící;Short-acting sulfonamides
J01EB01;N;sulfisomidin;sulfaisodimidine
J01EB02;N;sulfamethizol;sulfamethizole
J01EB03;N;sulfadimidin;sulfadimidine
J01EB04;N;sulfapyridin;sulfapyridine
J01EB05;N;sulfafurazol;sulfafurazole
J01EB06;N;sulfanilamid;sulfanilamide
J01EB07;N;sulfathiazol;sulfathiazole
J01EB08;N;sulfathiomočovina;sulfathiourea
J01EB20;N;sulfonamidy krátkodobě působící, kombinace;combinations
J01EC;N;Sulfonamidy střednědobě působící;Intermediate-acting sulfonamides
J01EC01;N;sulfamethoxazol;sulfamethoxazole
J01EC02;N;sulfadiazin;sulfadiazine
J01EC03;N;sulfamoxol;sulfamoxole
J01EC20;N;sulfonamidy střednědobě působící, kombinace;combinations
J01ED;N;Sulfonamidy dlouhodobě působící;Long-acting sulfonamides
J01ED01;N;sulfadimethoxin;sulfadimethoxine
J01ED02;N;sulfalen;sulfalene
J01ED03;N;sulfametomidin;sulfametomidine
J01ED04;N;sulfamethoxydiazin;sulfametoxydiazine
J01ED05;N;sulfamethoxypyridazin;sulfamethoxypyridazine
J01ED06;N;sulfaperin;sulfaperin
J01ED07;N;sulfamerazin;sulfamerazine
J01ED08;N;sulfafenazol;sulfaphenazole
J01ED09;N;sulfamazon;sulfamazone
J01ED20;N;sulfonamidy dlouhodobě působící, kombinace;combinations
J01EE;N;Kombinace sulfonamidů a trimethoprimu, včetně derivátů;Combinations of sulfonamides and trimethoprim, incl. derivatives
J01EE01;N;sulfamethoxazol a trimethoprim;sulfamethoxazole and trimethoprim
J01EE02;N;sulfadiazin a trimethoprim;sulfadiazine and trimethoprim
J01EE03;N;sulfametrol a trimethoprim;sulfametrole and trimethoprim
J01EE04;N;sulfamoxol a trimethoprim;sulfamoxole and trimethoprim
J01EE05;N;sulfadimidin a trimethoprim;sulfadimidine and trimethoprim
J01EE06;N;co-tetroxazin (sulfadiazin a tetroxoprim);sulfadiazine and tetroxoprim
J01EE07;N;sulfamerazin a trimethoprim;sulfamerazine and trimethoprim
J01F;N;MAKROLIDY, LINKOSAMIDY A STREPTOGRAMINY;MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS
J01FA;N;Makrolidy;Macrolides
J01FA01;N;erythromycin;erythromycin
J01FA02;N;spiramycin;spiramycin
J01FA03;N;midekamycin;midecamycin
J01FA05;N;oleandomycin;oleandomycin
J01FA06;N;roxithromycin;roxithromycin
J01FA07;N;josamycin;josamycin
J01FA08;N;troleandomycin;troleandomycin
J01FA09;N;klarithromycin;clarithromycin
J01FA10;N;azithromycin;azithromycin
J01FA11;N;miokamycin;miocamycin
J01FA12;N;rokitamycin;rokitamycin
J01FA13;N;dirithromycin;dirithromycin
J01FA14;N;flurithromycin;flurithromycin
J01FA15;N;telithromycin;telithromycin
J01FA16;N;solithromycin;solithromycin
J01FF;N;Linkosamidy;Lincosamides
J01FF01;N;klindamycin;clindamycin
J01FF02;N;linkomycin;lincomycin
J01FG;N;Streptograminy;Streptogramins
J01FG01;N;pristinamycin;pristinamycin
J01FG02;N;chinupristin/dalfopristin;quinupristin/dalfopristin
J01G;N;AMINOGLYKOSIDOVÁ ANTIBIOTIKA;AMINOGLYCOSIDE ANTIBACTERIALS
J01GA;N;Streptomyciny;Streptomycins
J01GA01;N;streptomycin;streptomycin
J01GA02;N;streptoduocin;streptoduocin
J01GB;N;Jiné aminoglykosidy;Other aminoglycosides
J01GB01;N;tobramycin;tobramycin
J01GB03;N;gentamicin;gentamicin
J01GB04;N;kanamycin;kanamycin
J01GB05;N;neomycin;neomycin
J01GB06;N;amikacin;amikacin
J01GB07;N;netilmicin;netilmicin
J01GB08;N;sisomicin;sisomicin
J01GB09;N;dibekacin;dibekacin
J01GB10;N;ribostamycin;ribostamycin
J01GB11;N;isepamicin;isepamicin
J01GB12;N;arbekacin;arbekacin
J01GB13;N;bekanamycin;bekanamycin
J01GB14;N;plazomicin;plazomicin
J01M;N;CHINOLONOVÁ ANTIBAKTERIÁLNÍ LÉČIVA;QUINOLONE ANTIBACTERIALS
J01MA;N;Fluorochinolony;Fluoroquinolones
J01MA01;N;ofloxacin;ofloxacin
J01MA02;N;ciprofloxacin;ciprofloxacin
J01MA03;N;pefloxacin;pefloxacin
J01MA04;N;enoxacin;enoxacin
J01MA05;N;temafloxacin;temafloxacin
J01MA06;N;norfloxacin;norfloxacin
J01MA07;N;lomefloxacin;lomefloxacin
J01MA08;N;fleroxacin;fleroxacin
J01MA09;N;sparfloxacin;sparfloxacin
J01MA10;N;rufloxacin;rufloxacin
J01MA11;N;grepafloxacin;grepafloxacin
J01MA12;N;levofloxacin;levofloxacin
J01MA13;N;trovafloxacin;trovafloxacin
J01MA14;N;moxifloxacin;moxifloxacin
J01MA15;N;gemifloxacin;gemifloxacin
J01MA16;N;gatifloxacin;gatifloxacin
J01MA17;N;prulifloxacin;prulifloxacin
J01MA18;N;pazufloxacin;pazufloxacin
J01MA19;N;garenoxacin;garenoxacin
J01MA21;N;sitafloxacin;sitafloxacin
J01MA22;N;tosufloxacin;tosufloxacin
J01MA23;N;delafloxacin;delafloxacin
J01MA24;N;levonadifloxacin;levonadifloxacin
J01MA25;N;laskufloxacin;lascufloxacin
J01MB;N;Jiné chinolony;Other quinolones
J01MB01;N;rosoxacin;rosoxacin
J01MB02;N;kyselina nalidixová;nalidixic acid
J01MB03;N;kyselina piromidová;piromidic acid
J01MB04;N;kyselina pipemidová;pipemidic acid
J01MB05;N;kyselina oxolinová;oxolinic acid
J01MB06;N;cinoxacin;cinoxacin
J01MB07;N;flumechin;flumequine
J01MB08;N;nemonoxacin;nemonoxacin
J01R;N;KOMBINACE ANTIBAKTERIÁLNÍCH LÉČIV;COMBINATIONS OF ANTIBACTERIALS
J01RA;N;Kombinace antibakteriálních léčiv;Combinations of antibacterials
J01RA01;N;peniciliny, kombinace s jinými antibakteriálními léčivy;penicillins, combinations with other antibacterials
J01RA02;N;sulfonamidy, kombinace s jinými antibakteriálními léčivy (kromě trimethoprimu);sulfonamides, combinations with other antibacterials (excl. trimethoprim)
J01RA03;N;cefuroxim a metronidazol;cefuroxime and metronidazole
J01RA04;N;spiramycin a metronidazol;spiramycin and metronidazole
J01RA05;N;levofloxacin a ornidazol;levofloxacin and ornidazole
J01RA06;N;cefepim a amikacin;cefepime and amikacin
J01RA07;N;azithromycin, flukonazol a seknidazol;azithromycin, fluconazole and secnidazole
J01RA08;N;tetracyklin a oleandomycin;tetracycline and oleandomycin
J01RA09;N;ofloxacin a ornidazol;ofloxacin and ornidazole
J01RA10;N;ciprofloxacin a metronidazol;ciprofloxacin and metronidazole
J01RA11;N;ciprofloxacin a tinidazol;ciprofloxacin and tinidazole
J01RA12;N;ciprofloxacin a ornidazol;ciprofloxacin and ornidazole
J01RA13;N;norfloxacin a tinidazol;norfloxacin and tinidazole
J01RA14;N;norfloxacin a metronidazol;norfloxacin and metronidazole
J01RA15;N;cefixim a ornidazol;cefixime and ornidazole
J01RA16;N;cefixim a azithromycin;cefixime and azithromycin
J01RA17;N;ofloxacin a nitazoxanid;ofloxacin and nitazoxanide
J01RA18;N;ofloxacin a tinidazol;ofloxacin and tinidazole
J01RA19;N;tetracyklin a nystatin;tetracycline and nystatin
J01X;N;JINÁ ANTIBAKTERIÁLNÍ LÉČIVA;OTHER ANTIBACTERIALS
J01XA;N;Glykopeptidová antibiotika;Glycopeptide antibacterials
J01XA01;N;vankomycin;vancomycin
J01XA02;N;teikoplanin;teicoplanin
J01XA03;N;telavancin;telavancin
J01XA04;N;dalbavancin;dalbavancin
J01XA05;N;oritavancin;oritavancin
J01XB;N;Polymyxiny;Polymyxins
J01XB01;N;kolistin;colistin
J01XB02;N;polymyxin B;polymyxin B
J01XC;N;Steroidní antibakteriální léčiva;Steroid antibacterials
J01XC01;N;kyselina fusidová;fusidic acid
J01XD;N;Imidazolové deriváty;Imidazole derivatives
J01XD01;N;metronidazol;metronidazole
J01XD02;N;tinidazol;tinidazole
J01XD03;N;ornidazol;ornidazole
J01XE;N;Nitrofuranové deriváty;Nitrofuran derivatives
J01XE01;N;nitrofurantoin;nitrofurantoin
J01XE02;N;nifurtoinol;nifurtoinol
J01XE03;N;furazidin;furazidin
J01XE51;N;nitrofurantoin, kombinace;nitrofurantoin, combinations
J01XX;N;Jiná antibakteriální léčiva;Other antibacterials
J01XX01;N;fosfomycin;fosfomycin
J01XX02;N;xibornol;xibornol
J01XX03;N;klofoktol;clofoctol
J01XX04;N;spektinomycin;spectinomycin
J01XX05;N;methenamin;methenamine
J01XX06;N;kyselina mandlová;mandelic acid
J01XX07;N;nitroxolin;nitroxoline
J01XX08;N;linezolid;linezolid
J01XX09;N;daptomycin;daptomycin
J01XX10;N;bacitracin;bacitracin
J01XX11;N;tedizolid;tedizolid
J01XX12;N;lefamulin;lefamulin
J01XX13;N;gepotidacin;gepotidacin
J02;N;ANTIMYKOTIKA PRO SYSTÉMOVOU APLIKACI;ANTIMYCOTICS FOR SYSTEMIC USE
J02A;N;ANTIMYKOTIKA PRO SYSTÉMOVOU APLIKACI;ANTIMYCOTICS FOR SYSTEMIC USE
J02AA;N;Antimykotická antibiotika;Antibiotics
J02AA01;N;amfotericin B;amphotericin B
J02AA02;N;hachimycin;hachimycin
J02AB;N;Imidazolové deriváty;Imidazole derivatives
J02AB01;N;mikonazol;miconazole
J02AB02;N;ketokonazol;ketoconazole
J02AC;N;Triazolové a tetrazolové deriváty;Triazole and tetrazole derivatives
J02AC01;N;flukonazol;fluconazole
J02AC02;N;itrakonazol;itraconazole
J02AC03;N;vorikonazol;voriconazole
J02AC04;N;posakonazol;posaconazole
J02AC05;N;isavukonazol;isavuconazole
J02AC06;N;otezekonazol;oteseconazole
J02AX;N;Jiná antimykotika pro systémovou aplikaci;Other antimycotics for systemic use
J02AX01;N;flucytosin;flucytosine
J02AX04;N;kaspofungin;caspofungin
J02AX05;N;mikafungin;micafungin
J02AX06;N;anidulafungin;anidulafungin
J02AX07;N;ibrexafungerp;ibrexafungerp
J02AX08;N;rezafungin-acetát;rezafungin acetate
J04;N;ANTIMYKOBAKTERIÁLNÍ LÉČIVA;ANTIMYCOBACTERIALS
J04A;N;LÉČIVA K TERAPII TUBERKULÓZY;DRUGS FOR TREATMENT OF TUBERCULOSIS
J04AA;N;Kyselina aminosalicylová a deriváty;Aminosalicylic acid and derivatives
J04AA01;N;kyselina aminosalicylová;4-aminosalicylic acid
J04AA02;N;natrium-aminosalicylát;sodium aminosalicylate
J04AA03;N;kalcium-aminosalicylát;calcium aminosalicylate
J04AB;N;Antibiotika;Antibiotics
J04AB01;N;cykloserin;cycloserine
J04AB02;N;rifampicin;rifampicin
J04AB03;N;rifamycin;rifamycin
J04AB04;N;rifabutin;rifabutin
J04AB05;N;rifapentin;rifapentine
J04AB06;N;enviomycin;enviomycin
J04AB30;N;kapreomycin;capreomycin
J04AC;N;Hydrazidy;Hydrazides
J04AC01;N;isoniazid;isoniazid
J04AC02;N;ftivazid;ftivazide
J04AC51;N;isoniazid, kombinace;isoniazid, combinations
J04AD;N;Deriváty thiomočoviny;Thiocarbamide derivatives
J04AD01;N;protionamid;protionamide
J04AD02;N;tiokarlid;tiocarlide
J04AD03;N;ethionamid;ethionamide
J04AK;N;Jiná léčiva k terapii tuberkulózy;Other drugs for treatment of tuberculosis
J04AK01;N;pyrazinamid;pyrazinamide
J04AK02;N;ethambutol;ethambutol
J04AK03;N;terizidon;terizidone
J04AK04;N;morinamid;morinamide
J04AK05;N;bedachilin;bedaquiline
J04AK06;N;delamanid;delamanid
J04AK07;N;thioacetazon;thioacetazone
J04AK08;N;pretomanid;pretomanid
J04AM;N;Kombinace léčiv k terapii tuberkulózy;Combinations of drugs for treatment of tuberculosis
J04AM01;N;streptomycin a isoniazid;streptomycin and isoniazid
J04AM02;N;rifampicin a isoniazid;rifampicin and isoniazid
J04AM03;N;ethambutol a isoniazid;ethambutol and isoniazid
J04AM04;N;thioacetazon a isoniazid;thioacetazone and isoniazid
J04AM05;N;rifampicin, pyrazinamid a isoniazid;rifampicin, pyrazinamide and isoniazid
J04AM06;N;rifampicin, pyrazinamid, ethambutol a isoniazid;rifampicin, pyrazinamide, ethambutol and isoniazid
J04AM07;N;rifampicin, ethambutol a isoniazid;rifampicin, ethambutol and isoniazid
J04AM08;N;isoniazid, sulfamethoxazol a trimethoprim;isoniazid, sulfamethoxazole and trimethoprim
J04AM09;N;pyrazinamid, ethambutol, isoniazid a lomefloxacin;pyrazinamide, ethambutol, isoniazid and lomefloxacin
J04AM10;N;pyrazinamid, ethambutol, protionamid a lomefloxacin;pyrazinamide, ethambutol, protionamide and lomefloxacin
J04AM11;N;rifabutin, pyrazinamid a protionamid;rifabutin, pyrazinamide and protionamide
J04AM12;N;rifampicin, pyrazinamid, isoniazid a levofloxacin;rifampicin, pyrazinamide, isoniazid and levofloxacin
J04B;N;LÉČIVA K TERAPII LEPRY;DRUGS FOR TREATMENT OF LEPRA
J04BA;N;Léčiva k terapii lepry;Drugs for treatment of lepra
J04BA01;N;klofazimin;clofazimine
J04BA02;N;dapson;dapsone
J04BA03;N;sodná sůl aldesulfonu;aldesulfone sodium
J04BA50;N;dapson a rifampicin;dapsone and rifampicin
J04BA51;N;dapson, rifampicin a klofazimin;dapsone, rifampicin and clofazimine
J05;N;ANTIVIROTIKA PRO SYSTÉMOVOU APLIKACI;ANTIVIRALS FOR SYSTEMIC USE
J05A;N;PŘÍMO PŮSOBÍCÍ ANTIVIROTIKA;DIRECT ACTING ANTIVIRALS
J05AA;N;Thiosemikarbazony;Thiosemicarbazones
J05AA01;N;metisazon;metisazone
J05AB;N;Nukleosidy a nukleotidy, kromě inhibitorů reverzní transkriptasy;Nucleosides and nucleotides excl. reverse transcriptase inhibitors
J05AB01;N;aciklovir;aciclovir
J05AB02;N;idoxuridin;idoxuridine
J05AB03;N;vidarabin;vidarabine
J05AB06;N;ganciklovir;ganciclovir
J05AB09;N;famciklovir;famciclovir
J05AB11;N;valaciklovir;valaciclovir
J05AB12;N;cidofovir;cidofovir
J05AB13;N;penciklovir;penciclovir
J05AB14;N;valganciklovir;valganciclovir
J05AB15;N;brivudin;brivudine
J05AB16;N;remdesivir;remdesivir
J05AB17;N;brincidofovir;brincidofovir
J05AB18;N;molnupiravir;molnupiravir
J05AC;N;Cyklické aminy;Cyclic amines
J05AC02;N;rimantadin;rimantadine
J05AC03;N;tromantadin;tromantadine
J05AD;N;Deriváty kyseliny fosfonové;Phosphonic acid derivatives
J05AD01;N;foskarnet;foscarnet
J05AD02;N;fosfonet;fosfonet
J05AE;N;Inhibitory proteasy;Protease inhibitors
J05AE01;N;sachinavir;saquinavir
J05AE02;N;indinavir;indinavir
J05AE03;N;ritonavir;ritonavir
J05AE04;N;nelfinavir;nelfinavir
J05AE05;N;amprenavir;amprenavir
J05AE07;N;fosamprenavir;fosamprenavir
J05AE08;N;atazanavir;atazanavir
J05AE09;N;tipranavir;tipranavir
J05AE10;N;darunavir;darunavir
J05AE16;N;ensitrelvir;ensitrelvir
J05AE30;N;nirmatrelvir a ritonavir;nirmatrelvir and ritonavir
J05AF;N;Nukleosidové a nukleotidové inhibitory reverzní transkriptasy;Nucleoside and nucleotide reverse transcriptase inhibitors
J05AF01;N;zidovudin;zidovudine
J05AF02;N;didanosin;didanosine
J05AF03;N;zalcitabin;zalcitabine
J05AF04;N;stavudin;stavudine
J05AF05;N;lamivudin;lamivudine
J05AF06;N;abakavir;abacavir
J05AF07;N;tenofovir-disoproxil;tenofovir disoproxil
J05AF08;N;adefovir-dipivoxil;adefovir dipivoxil
J05AF09;N;emtricitabin;emtricitabine
J05AF10;N;entekavir;entecavir
J05AF11;N;telbivudin;telbivudine
J05AF12;N;klevudin;clevudine
J05AF13;N;tenofovir-alafenamid;tenofovir alafenamide
J05AG;N;Nenukleosidové inhibitory reverzní transkriptasy;Non-nucleoside reverse transcriptase inhibitors
J05AG01;N;nevirapin;nevirapine
J05AG02;N;delavirdin;delavirdine
J05AG03;N;efavirenz;efavirenz
J05AG04;N;etravirin;etravirine
J05AG05;N;rilpivirin;rilpivirine
J05AG06;N;doravirin;doravirine
J05AG07;N;elsulfavirin;elsulfavirine
J05AH;N;Inhibitory neuraminidasy;Neuraminidase inhibitors
J05AH01;N;zanamivir;zanamivir
J05AH02;N;oseltamivir;oseltamivir
J05AH03;N;peramivir;peramivir
J05AH04;N;laninamivir;laninamivir
J05AJ;N;Inhibitory integrázy;Integrase inhibitors
J05AJ01;N;raltegravir;raltegravir
J05AJ02;N;elvitegravir;elvitegravir
J05AJ03;N;dolutegravir;dolutegravir
J05AJ04;N;kabotegravir;cabotegravir
J05AP;N;Antivirotika k léčbě infekce hcv;Antivirals for treatment of HCV infections
J05AP01;N;ribavirin;ribavirin
J05AP02;N;telaprevir;telaprevir
J05AP03;N;boceprevir;boceprevir
J05AP04;N;faldaprevir;faldaprevir
J05AP05;N;simeprevir;simeprevir
J05AP06;N;asunaprevir;asunaprevir
J05AP07;N;daklatasvir;daclatasvir
J05AP08;N;sofosbuvir;sofosbuvir
J05AP09;N;dasabuvir;dasabuvir
J05AP10;N;elbasvir;elbasvir
J05AP11;N;grazoprevir;grazoprevir
J05AP12;N;koblopasvir;coblopasvir
J05AP13;N;ravidasvir;ravidasvir
J05AP14;N;narlaprevir;narlaprevir
J05AP51;N;sofosbuvir a ledipasvir;sofosbuvir and ledipasvir
J05AP52;N;dasabuvir, ombitasvir, paritaprevir a ritonavir;dasabuvir, ombitasvir, paritaprevir and ritonavir
J05AP53;N;ombitasvir, paritaprevir a ritonavir;ombitasvir, paritaprevir and ritonavir
J05AP54;N;elbasvir a grazoprevir;elbasvir and grazoprevir
J05AP55;N;sofosbuvir a velpatasvir;sofosbuvir and velpatasvir
J05AP56;N;sofosbuvir, velpatasvir a voxilaprevir;sofosbuvir, velpatasvir and voxilaprevir
J05AP57;N;glekaprevir a pibrentasvir;glecaprevir and pibrentasvir
J05AP58;N;daklatasvir, asunaprevir a beklabuvir;daclatasvir, asunaprevir and beclabuvir
J05AR;N;Antivirotika k léčbě infekce hiv, kombinace;Antivirals for treatment of HIV infections, combinations
J05AR01;N;zidovudin a lamivudin;zidovudine and lamivudine
J05AR02;N;lamivudin a abakavir;lamivudine and abacavir
J05AR03;N;tenofovir-disoproxil a emtricitabin;tenofovir disoproxil and emtricitabine
J05AR04;N;zidovudin, lamivudin a abakavir;zidovudine, lamivudine and abacavir
J05AR05;N;zidovudin, lamivudin a nevirapin;zidovudine, lamivudine and nevirapine
J05AR06;N;emtricitabin, tenofovir-disoproxil a efavirenz;emtricitabine, tenofovir disoproxil and efavirenz
J05AR07;N;stavudin, lamivudin a nevirapin;stavudine, lamivudine and nevirapine
J05AR08;N;emtricitabin, tenofovir-disoproxil a rilpivirin;emtricitabine, tenofovir disoproxil and rilpivirine
J05AR09;N;emtricitabin, tenofovir-disoproxil, elvitegravir a kobicistat;emtricitabine, tenofovir disoproxil, elvitegravir and cobicistat
J05AR10;N;lopinavir a ritonavir;lopinavir and ritonavir
J05AR11;N;lamivudin, tenofovir-disoproxil a efavirenz;lamivudine, tenofovir disoproxil and efavirenz
J05AR12;N;lamivudin a tenofovir-disoproxil;lamivudine and tenofovir disoproxil
J05AR13;N;lamivudin, abakavir a dolutegravir;lamivudine, abacavir and dolutegravir
J05AR14;N;darunavir a kobicistat;darunavir and cobicistat
J05AR15;N;atazanavir a kobicistat;atazanavir and cobicistat
J05AR16;N;lamivudin a raltegravir;lamivudine and raltegravir
J05AR17;N;emtricitabin a tenofovir-alafenamid;emtricitabine and tenofovir alafenamide
J05AR18;N;emtricitabin, tenofovir-alafenamid, elvitegravir a kobicistat;emtricitabine, tenofovir alafenamide, elvitegravir and cobicistat
J05AR19;N;emtricitabin, tenofovir-alafenamid a rilpivirin;emtricitabine, tenofovir alafenamide and rilpivirine
J05AR20;N;emtricitabin, tenofovir-alafenamid a biktegravir;emtricitabine, tenofovir alafenamide and bictegravir
J05AR21;N;dolutegravir a rilpivirin;dolutegravir and rilpivirine
J05AR22;N;emtricitabin, tenofovir-alafenamid, darunavir a kobicistat;emtricitabine, tenofovir alafenamide, darunavir and cobicistat
J05AR23;N;atazanavir a ritonavir;atazanavir and ritonavir
J05AR24;N;lamivudin, tenofovir-disoproxil a doravirin;lamivudine, tenofovir disoproxil and doravirine
J05AR25;N;lamivudin a dolutegravir;lamivudine and dolutegravir
J05AR26;N;darunavir a ritonavir;darunavir and ritonavir
J05AR27;N;lamivudin, tenofovir-disoproxil a  dolutegravir;lamivudine, tenofovir disoproxil and dolutegravir
J05AR28;N;stavudin a lamivudin;stavudine and lamivudine
J05AR29;N;emtricitabin, tenofovir-alafenamid a dolutegravir;emtricitabine, tenofovir alafenamide and dolutegravir
J05AX;N;Jiná antivirotika;Other antivirals
J05AX01;N;moroxydin;moroxydine
J05AX02;N;lysozym;lysozyme
J05AX05;N;inosin pranobex;inosine pranobex
J05AX06;N;plekonaril;pleconaril
J05AX07;N;enfuvirtid;enfuvirtide
J05AX09;N;maravirok;maraviroc
J05AX10;N;maribavir;maribavir
J05AX13;N;umifenovir;umifenovir
J05AX17;N;enisamium-iodid;enisamium iodide
J05AX18;N;letermovir;letermovir
J05AX19;N;tiloron;tilorone
J05AX21;N;kyselina imidazolylethanamidopentandiová;pentanedioic acid imidazolyl ethanamide
J05AX23;N;ibalizumab;ibalizumab
J05AX24;N;tekovirimát;tecovirimat
J05AX25;N;baloxavir marboxil;baloxavir marboxil
J05AX26;N;amenamevir;amenamevir
J05AX27;N;favipiravir;favipiravir
J05AX28;N;bulevirtid;bulevirtide
J05AX29;N;fostemsavir;fostemsavir
J05AX31;N;lenakapavir;lenacapavir
J05AX32;N;riamilovir;riamilovir
J05AX33;N;labuvirtid;labuvirtide
J06;N;HYPERIMUNNÍ SÉRA A IMUNOGLOBULINY;IMMUNE SERA AND IMMUNOGLOBULINS
J06A;N;HYPERIMUNNÍ SÉRA;IMMUNE SERA
J06AA;N;Hyperimunní séra;Immune sera
J06AA01;N;difterický antitoxin;diphtheria antitoxin
J06AA02;N;tetanový antitoxin;tetanus antitoxin
J06AA03;N;sérum proti hadímu jedu;snake venom antiserum
J06AA04;N;antitoxin botulinu;botulinum antitoxin
J06AA05;N;sérum proti plynaté sněti;gas-gangrene sera
J06AA06;N;sérum proti vzteklině;rabies serum
J06B;N;IMUNOGLOBULINY;IMMUNOGLOBULINS
J06BA;N;Imunoglobuliny, normální lidské;Immunoglobulins, normal human
J06BA01;N;imunoglobuliny, normální lidské, pro extravaskulární aplikaci;immunoglobulins, normal human, for extravascular adm.
J06BA02;N;imunoglobuliny, normální lidské, pro intravaskulární aplikaci;immunoglobulins, normal human, for intravascular adm.
J06BB;N;Specifické imunoglobuliny;Specific immunoglobulins
J06BB01;N;anti-D (Rh) imunoglobulin;anti-D (rh) immunoglobulin
J06BB02;N;imunoglobulin proti tetanu;tetanus immunoglobulin
J06BB03;N;imunoglobulin proti planým neštovicím/pásovému oparu;varicella/zoster immunoglobulin
J06BB04;N;imunoglobulin proti hepatitidě B;hepatitis B immunoglobulin
J06BB05;N;imunoglobulin proti vzteklině;rabies immunoglobulin
J06BB06;N;imunoglobulin proti zarděnkám;rubella immunoglobulin
J06BB07;N;imunoglobulin proti vakcinii;vaccinia immunoglobulin
J06BB08;N;imunoglobulin proti stafylokokové infekci;staphylococcus immunoglobulin
J06BB09;N;imunoglobulin proti cytomegaloviru;cytomegalovirus immunoglobulin
J06BB10;N;imunoglobulin proti difterii;diphtheria immunoglobulin
J06BB11;N;imunoglobulin proti hepatitidě A;hepatitis A immunoglobulin
J06BB12;N;imunoglobulin proti evropské klíšťové encefalitidě;encephalitis, tick borne immunoglobulin
J06BB13;N;imunoglobulin proti pertusi;pertussis immunoglobulin
J06BB14;N;imunoglobulin proti spalničkám;measles immunoglobulin
J06BB15;N;imunoglobulin proti příušnicím;mumps immunoglobulin
J06BB19;N;imunoglobulin proti anthraxu;anthrax immunoglobulin
J06BB30;N;specifické imunoglobuliny, kombinace;combinations
J06BC;N;Antibakteriální monoklonální protilátky;Antibacterial monoclonal antibodies
J06BC01;N;nebakumab;nebacumab
J06BC02;N;raxibakumab;raxibacumab
J06BC03;N;bezlotoxumab;bezlotoxumab
J06BC04;N;obiltoxaximab;obiltoxaximab
J06BD;N;Antivirové monoklonální protilátky;Antiviral monoclonal antibodies
J06BD01;N;palivizumab;palivizumab
J06BD02;N;motavizumab;motavizumab
J06BD03;N;tixagevimab a cilgavimab;tixagevimab and cilgavimab
J06BD04;N;ansuvimab;ansuvimab
J06BD05;N;sotrovimab;sotrovimab
J06BD06;N;regdanvimab;regdanvimab
J06BD07;N;kasirivimab a imdevimab;casirivimab and imdevimab
J06BD08;N;nirsevimab;nirsevimab
J06BD09;N;sipavibart;sipavibart
J07;N;VAKCÍNY;VACCINES
J07A;N;BAKTERIÁLNÍ VAKCÍNY;BACTERIAL VACCINES
J07AC;N;Vakcíny proti antraxu;Anthrax vaccines
J07AC01;N;antigen anthraxu;anthrax antigen
J07AD;N;Vakcíny proti brucelóze;Brucellosis vaccines
J07AD01;N;brucelový antigen;brucella antigen
J07AE;N;Vakcíny proti choleře;Cholera vaccines
